City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,vrangel',42.7297,133.0839,37.85,83,100,10.42,RU,1711576405
1,port-aux-francais,-49.35,70.2167,42.66,85,100,29.19,TF,1711576405
2,west island,-12.1568,96.8225,80.58,78,100,8.05,CC,1711576406
3,adamstown,-25.066,-130.1015,76.57,65,35,12.8,PN,1711576406
4,ushuaia,-54.8,-68.3,47.86,57,0,9.22,AR,1711576382
5,grytviken,-54.2811,-36.5092,44.89,86,86,13.33,GS,1711576406
6,albany,42.6001,-73.9662,46.42,79,100,4.0,US,1711576235
7,stanley,54.868,-1.6985,40.59,83,20,3.44,GB,1711576407
8,whitehorse,60.7161,-135.0538,42.1,64,75,6.91,CA,1711576407
9,paducah,37.0834,-88.6001,57.45,38,0,4.61,US,1711576407
10,tiksi,71.6872,128.8694,-12.55,96,99,5.91,RU,1711576407
11,rongelap,11.1635,166.8941,80.37,77,35,17.02,MH,1711576407
12,kertih,4.5141,103.4483,78.82,94,100,0.0,MY,1711576407
13,botou,38.0667,116.5667,48.02,79,40,2.73,CN,1711576408
14,mawu,29.5923,107.3139,55.58,93,73,2.01,CN,1711576408
15,papao,-17.75,-149.55,89.28,74,59,17.07,PF,1711576408
16,udachny,66.4167,112.4,-28.77,100,41,4.59,RU,1711576408
17,olonkinbyen,70.9221,-8.7187,25.25,65,32,3.09,SJ,1711576409
18,badger,64.8,-147.5333,39.97,67,75,5.75,US,1711576409
19,ribeira grande,38.5167,-28.7,54.0,71,75,34.52,PT,1711576409
20,alice springs,-23.7,133.8833,65.21,92,100,5.75,AU,1711576409
21,aasiaat,68.7098,-52.8699,12.69,86,100,11.1,GL,1711576409
22,iqaluit,63.7506,-68.5145,6.53,71,20,13.8,CA,1711576209
23,port douglas,-16.4833,145.4667,81.41,81,100,4.07,AU,1711576233
24,yerofey pavlovich,53.9667,121.9667,27.05,95,100,11.74,RU,1711576410
25,yellowknife,62.456,-114.3525,25.32,39,20,12.66,CA,1711576410
26,jamestown,42.097,-79.2353,41.02,84,100,11.5,US,1711576178
27,college,64.8569,-147.8028,40.06,61,75,5.75,US,1711576411
28,ixtapa,20.7,-105.2,88.32,25,1,7.29,MX,1711576411
29,cannonvale,-20.2833,148.7,78.19,85,67,11.48,AU,1711576411
30,bilibino,68.0546,166.4372,-8.1,97,92,1.39,RU,1711576411
31,fatehabad,29.5167,75.45,76.23,32,94,6.93,IN,1711576411
32,haiku-pauwela,20.9219,-156.3051,82.22,75,40,20.71,US,1711576412
33,longyearbyen,78.2186,15.6401,24.64,63,75,11.5,SJ,1711576412
34,bethel,41.3712,-73.414,51.51,78,100,0.0,US,1711576412
35,maxixe,-23.8597,35.3472,71.22,82,3,5.55,MZ,1711576412
36,nova sintra,14.8667,-24.7167,66.56,75,66,17.87,CV,1711576413
37,avarua,-21.2078,-159.775,86.05,79,20,4.61,CK,1711576413
38,fortuna,40.5982,-124.1573,55.92,95,100,1.01,US,1711576413
39,afaahiti,-17.75,-149.2833,87.67,74,89,15.46,PF,1711576413
40,serdar,38.9764,56.2757,48.45,57,30,9.64,TM,1711576413
41,hawaiian paradise park,19.5933,-154.9731,78.31,84,75,11.5,US,1711576414
42,bardai,11.65,7.2333,81.79,10,99,8.1,NG,1711576414
43,nagqu,31.5,92.0,22.87,24,75,4.29,CN,1711576414
44,gadzhiyevo,69.2551,33.3362,8.74,97,38,10.56,RU,1711576414
45,winterset,41.3308,-94.0138,44.53,43,36,13.29,US,1711576415
46,pinsk,52.1229,26.0951,45.63,64,6,14.76,BY,1711576415
47,vilyuchinsk,52.9306,158.4028,19.67,68,67,4.16,RU,1711576415
48,taroa,8.7058,171.2275,81.5,79,74,19.75,MH,1711576415
49,port mathurin,-19.6833,63.4167,78.08,64,85,18.28,MU,1711576415
50,mangrol,21.1167,70.1167,76.64,77,59,12.77,IN,1711576416
51,codrington,-38.2667,141.9667,56.25,84,95,2.57,AU,1711576416
52,port lincoln,-34.7333,135.8667,63.57,72,76,14.25,AU,1711576361
