,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,papatowai,-46.5619,169.4708,44.82,85,98,12.84,NZ,1711580433
1,tiksi,71.6872,128.8694,-9.81,95,100,5.17,RU,1711580433
2,qaqortoq,60.7167,-46.0333,14.4,99,19,2.06,GL,1711580434
3,adamstown,-25.066,-130.1015,76.41,68,48,13.35,PN,1711580434
4,bethel,41.3712,-73.414,51.01,82,100,1.01,US,1711580434
5,galle,6.0367,80.217,79.66,83,100,3.49,LK,1711580435
6,qulsary,46.9531,54.0198,42.37,73,100,24.07,KZ,1711580435
7,port saint john's,-31.6229,29.5448,71.46,91,100,7.09,ZA,1711580435
8,bathsheba,13.2167,-59.5167,81.21,74,20,9.22,BB,1711580436
9,puerto natales,-51.7236,-72.4875,46.6,92,100,2.51,CL,1711580436
10,hamilton,39.1834,-84.5333,50.23,55,20,10.0,US,1711580157
11,port-aux-francais,-49.35,70.2167,42.35,90,99,30.78,TF,1711580415
12,st. john's,47.5649,-52.7093,36.79,63,100,8.05,CA,1711580395
13,tazacorte,28.629,-17.9293,63.57,85,20,6.91,ES,1711580437
14,sakaiminato,35.55,133.2333,46.38,71,75,5.75,JP,1711580438
15,puerto baquerizo moreno,-0.9,-89.6,85.19,74,40,0.0,EC,1711580438
16,nishinoomote,30.7333,131.0,62.35,63,100,18.45,JP,1711580438
17,ushuaia,-54.8,-68.3,47.86,61,100,3.44,AR,1711580252
18,luderitz,-26.6481,15.1594,59.95,89,0,16.42,NA,1711580440
19,mwatate,-3.5029,38.3795,70.93,91,84,0.94,KE,1711580440
20,longyearbyen,78.2186,15.6401,22.84,74,75,10.36,SJ,1711580422
21,afaahiti,-17.75,-149.2833,85.87,76,58,16.87,PF,1711580440
22,uliastay,47.7417,96.8444,13.12,72,92,6.17,MN,1711580441
23,albany,42.6001,-73.9662,46.31,80,100,1.01,US,1711580424
24,laguna,38.421,-121.4238,60.08,81,100,8.05,US,1711580169
25,ribeira grande,38.5167,-28.7,50.77,78,99,15.99,PT,1711580439
26,kajaani,64.2273,27.7285,30.25,93,100,6.91,FI,1711580442
27,talnakh,69.4865,88.3972,-10.84,96,99,5.08,RU,1711580431
28,taungdwingyi,20.0167,95.55,77.41,37,58,2.98,MM,1711580442
29,nchelenge,-9.3451,28.734,75.54,79,70,7.0,ZM,1711580443
30,hawaiian paradise park,19.5933,-154.9731,76.03,89,100,5.01,US,1711580428
31,knoxville,35.9606,-83.9207,68.2,40,0,9.22,US,1711580280
32,kidal,18.4411,1.4078,81.23,21,94,9.55,ML,1711580443
33,kailua-kona,19.6406,-155.9956,81.28,78,9,1.99,US,1711580383
34,khash,28.2211,61.2158,60.15,42,100,0.72,IR,1711580444
35,plainview,40.7765,-73.4673,49.46,80,75,7.0,US,1711580345
36,badger,64.8,-147.5333,39.97,67,75,4.61,US,1711580430
37,mount gambier,-37.8333,140.7667,61.72,69,76,4.5,AU,1711580445
38,onguday,50.75,86.15,33.93,88,100,1.83,RU,1711580445
39,marvejols,44.5538,3.2914,37.33,87,35,13.47,FR,1711580445
40,lihue,21.9789,-159.3672,79.84,77,28,12.21,US,1711580445
41,margaret river,-33.95,115.0667,62.96,72,0,3.4,AU,1711580445
42,utena,55.5,25.6,43.83,60,65,15.82,LT,1711580357
43,quincy,42.2529,-71.0023,57.61,83,100,5.75,US,1711580177
44,carnarvon,-24.8667,113.6333,77.65,63,0,12.95,AU,1711580446
45,thompson,55.7435,-97.8558,21.36,38,75,21.85,CA,1711580430
46,palmer,42.1584,-72.3287,54.5,81,100,6.91,US,1711580426
47,toliara,-23.35,43.6667,79.18,74,0,8.63,MG,1711580447
48,la passe,45.5549,-0.8967,48.43,80,85,24.7,FR,1711580447
49,utrik,11.2278,169.8474,80.47,76,34,20.36,MH,1711580447
50,chonchi,-42.6128,-73.8092,63.61,90,8,1.32,CL,1711580444
51,kuala belait,4.5833,114.1833,78.96,80,100,4.47,BN,1711580448
52,aras-asan,8.8908,126.3033,78.91,86,99,2.06,PH,1711580448
53,isafjordur,66.0755,-23.124,31.1,58,72,12.19,IS,1711580435
54,boa vista,2.8197,-60.6733,94.98,36,66,3.44,BR,1711580417
55,el kala,36.8956,8.4433,55.81,68,3,6.08,DZ,1711580448
56,grytviken,-54.2811,-36.5092,43.56,94,100,11.48,GS,1711580417
57,east london,-33.0153,27.9116,69.53,82,100,4.41,ZA,1711580396
58,princeton,25.5384,-80.4089,80.6,82,75,10.36,US,1711580408
59,emerald,-23.5333,148.1667,76.33,84,100,13.44,AU,1711580381
60,waitangi,-43.9535,-176.5597,56.82,75,100,5.01,NZ,1711580410
61,panorama,40.5878,23.0315,54.68,89,75,5.99,GR,1711580450
62,moyamba,8.1667,-12.4333,78.1,83,48,3.0,SL,1711580450
63,kingston,17.997,-76.7936,85.15,66,20,13.8,JM,1711580199
64,pisco,-13.7,-76.2167,77.05,73,0,18.41,PE,1711580450
65,beyla,8.6833,-8.6333,77.63,71,91,4.59,GN,1711580451
